owner,repo,type
earowang,hts,R package
FinYang,tsdl,R package
jforbes14,eechidna,R package
mitchelloharawild,distributional,R package
mitchelloharawild,vitae,R package
numbats,monash,R package
PuwasalaG,conduits,R package
robjhyndman,compenginets,R package
robjhyndman,cricketdata,R package
robjhyndman,demography,R package
robjhyndman,expsmooth,R package
robjhyndman,fma,R package
robjhyndman,forecast,R package
robjhyndman,fpp,R package
robjhyndman,fpp2-package,R package
robjhyndman,fpp3,R package
robjhyndman,hdrcde,R package
robjhyndman,Mcomp,R package
robjhyndman,MEFM-package,R package
robjhyndman,ozbabynames,R package
robjhyndman,pkgmeta,R package
robjhyndman,rcademy,R package
robjhyndman,stR,R package
robjhyndman,TACforecasting,R package
robjhyndman,thief,R package
robjhyndman,tscompdata,R package
robjhyndman,tsfeatures,R package
robjhyndman,vital,R package
robjhyndman,weird-package,R package
ropenscilabs,ozbabynames,R package
Sayani07,gghdr,R package
Sayani07,gravitas,R package
sevvandi,lookout,R package
tidyverts,fable,R package
tidyverts,fable.binary,R package
tidyverts,fabletools,R package
tidyverts,feasts,R package
tidyverts,tsibble,R package
tidyverts,tsibbledata,R package
ykang,gratis,R package
quarto-monash,exam,Quarto extension
quarto-monash,letter,Quarto extension
quarto-monash,memo,Quarto extension
quarto-monash,presentation,Quarto extension
quarto-monash,report,Quarto extension
quarto-monash,thesis,Quarto extension
quarto-monash,workingpaper,Quarto extension
